county,student,year_adopted,year_ending,year_amendment,wildlife_corridors_human,land_acquisition_human,wildlife_crossings_human,wildlife_surveys_human,open_space_human,human_rank_score,ranking_raw,ranking_rationale
Alachua County,Grace Qiang,1987.0,2040,2026,0,1,0,0,1,,2026-01-03 00:00:00,"Indirect references to ""wildlife habitats"", but no explicit mention of wildlife corridors. Land acquisition is briefly mentioned once. Wildlife crossings and surveys are never referred to. Open space planning has a wealth of related policy."
Bradford County,Grace Qiang,1994.0,2030,2021,1,0,0,1,1,,2026-01-03 00:00:00,"Mentions coordinating with neighboring counties for wildlife corridors. No mentions of land acquisition, crossings, and surveys. Many mentions of the protection of open space without specific relationship to conservation."
Broward County,Grace Qiang,1989.0,nan,2025,0,0,0,0,1,,2026-01-03 00:00:00,"NO mentions of the other keywords, but mentions open space in relationship to recreational parks and wildlife sanctuaries."
Calhoun County,Grace Qiang,1991.0,2025,2018 and 2020,0,0,0,0,1,,2026-01-03 00:00:00,NO mentions of other keywords. Open space policies discuss public parks and residential areas.
Citrus County,Grace Qiang,1988.0,nan,nan,0,1,0,0,1,,2026-01-03 00:00:00,"NO mention of wildlife corridors, crossings, or surveys. Land acquisition policies do not reference conservation goals. Prioritizes providing open space areas and mentions greenways."
Columbia County,Grace Qiang,1990.0,2040,2022,1,1,0,1,1,,2026-01-03 00:00:00,Briefly mentions wildlife corridors and potential land acquisition within the county. No mention of crossings. General species surveys are suggested. Section for open space zoning without reference to wildlife. 
DeSoto County,Grace Qiang,1991.0,2040,2025,1,1,0,1,1,,2026-01-03 00:00:00,Protects river corridors but not specifically wildlife corridors. Suggests species surveys. No mention of crossings. Supports land acquisition and open space planning but not related to conservation goals. 
Dixie County,Grace Qiang,1989.0,2025,2021,1,1,0,1,1,,2026-01-03 00:00:00,No specific mention of wildlife corridors or crossings. Surveys are required in habitat conservation areas. Land acquisition and Open use planning are broadly discussed.
Escambia County,Grace Qiang,2007.0,2030,?,1,1,0,0,1,,2026-01-03 00:00:00,Mentions identification of wildlife corridors once. Land acquisition program doesn't mention conservation concerns. No mention of crossings or surveys. Open space planning relates to conservation and natural reservations.
Flagler County,Grace Qiang,1989.0,2035,2022,1,1,0,0,1,,2026-01-03 00:00:00,Broad policies to connect and support wildlife habitats. Suggests land acquisition for natural resources and habitats. No results for crossings and surveys. Open space is not explicitly mentioned.
Franklin County,Grace Qiang,1990.0,?,?,1,1,0,0,1,,2026-01-03 00:00:00,One mention of the objective of protecting wildlife corridors. One mention of the acquisition of land for natural resources. No discussion of wildlife crossings or surveys. General mentions of open space without specific discussion of conservation. 
